Surveys - Paused On,Survey Tag,Region,Account Type,Clicks_sum,Deliveries_sum,Opens_sum,Time since response,Account logValue,Churn
1,DTS,Yorkshire & the Humber,Target,0,0,0,1580,0,0
1,SSS,London,Member,0,0,0,1580,5.967018154,0
1,DTS,Thames Valley,Target,0,0,0,1580,0,0
0,FSS,Northern Ireland,Target,0,0,0,303,0,0
1,SSS,London,Member,0,0,0,1580,10.62170679,0
0,SSS,South East,Target,0,0,0,1580,0,0
0,DTS,London,Target,0,0,0,1580,0,0
0,ITS,West Midlands,Target,0,0,0,57,0,0
1,SSS,North West,Target,0,0,0,1580,0,0
0,FSS,West Midlands,Target,0,0,0,135,0,0
0,FSS,Yorkshire & the Humber,Target,0,0,0,1580,0,0
0,SSS,North West,Target,0,0,0,132,0,0
0,ITS,West Midlands,Target,0,0,0,581,0,0
0,SSS,West Midlands,Target,0,0,0,73,0,0
0,ITS,Thames Valley,Target,0,0,0,67,0,0
0,DTS,West Midlands,Target,0,0,0,96,0,0
0,FSS,West Midlands,Target,0,0,0,1580,0,0
0,ITS,West Midlands,Target,0,0,0,1084,0,0
1,ITS,Northern Ireland,Target,0,0,0,1580,0,0
0,ITS,Wales,Target,0,0,0,1141,0,0
1,ITS,London,Target,0,0,0,1580,0,0
0,DTS,North East,Target,0,0,0,1580,0,0
1,ITS,East of England,Member,0,0,0,1580,6.96523142,0
0,DTS,Yorkshire & the Humber,Target,0,0,0,1357,0,0
0,SSS,London,Target,0,0,0,1580,0,0
1,SSS,East of England,Target,0,0,0,1580,0,0
1,SSS,London,Member,0,0,0,1580,10.12707101,0
0,DTS,South East,Target,0,0,0,1580,0,0
0,ITS,North West,Target,0,0,0,497,0,0
1,SSS,Yorkshire & the Humber,Target,0,0,0,1580,0,0
1,ITS,East Midlands,Target,0,0,0,1580,0,0
0,ITS,North West,Target,0,0,0,1580,0,0
1,SSS,South West,Target,0,0,0,1580,0,0
0,ITS,South East,Target,0,0,0,28,0,0
0,SSS,London,Target,0,0,0,220,0,0
0,ITS,West Midlands,Target,0,0,0,1580,0,0
1,SSS,London,Target,0,0,0,1580,0,0
1,SSS,Scotland,Target,0,0,0,1580,0,0
1,ITS,West Midlands,Member,0,0,0,1580,10.0770516,0
0,ITS,North East,Member,0,0,0,525,7.048308213,0
0,FSS,,Target,0,0,0,191,0,0
0,ITS,West Midlands,Target,0,0,0,22,0,0
0,FSS,London,Member,0,0,0,1580,9.709103941,0
0,SSS,West Midlands,Target,0,0,0,66,0,0
0,ITS,Scotland,Target,0,0,0,71,0,0
0,DTS,Scotland,Target,0,0,0,1580,0,0
0,SSS,East of England,Member,0,0,0,925,8.342534996,0
0,FSS,North East,Member,0,0,0,1580,9.84324114,0
0,DTS,West Midlands,Target,0,0,0,629,0,0
0,DTS,Yorkshire & the Humber,Target,0,0,0,1147,0,0
1,ITS,London,Target,0,0,0,1580,0,0
1,SSS,London,Member,0,0,0,1580,8.780798224,0
0,DTS,London,Target,0,0,0,267,0,0
0,SSS,East Midlands,Target,0,0,0,421,0,0
0,DTS,West Midlands,Target,0,0,0,503,0,0
0,FSS,London,Target,0,0,0,1580,0,0
0,DTS,London,Target,0,0,0,1580,0,0
0,FSS,London,Target,0,0,0,289,0,0
0,ITS,London,Target,0,0,0,1580,0,0
1,SSS,South West,Target,0,0,0,1580,0,0
0,ITS,East of England,Target,0,0,0,1580,0,0
0,ITS,Wales,Target,0,0,0,1145,0,0
1,DTS,Northern Ireland,Target,0,0,0,1580,0,0
0,ITS,North West,Target,0,0,0,50,0,0
0,SSS,South East,Target,0,0,0,1357,0,0
0,SSS,West Midlands,Target,0,0,0,1580,0,0
1,SSS,London,Target,0,0,0,1580,0,0
1,SSS,North West,Target,0,0,0,1580,0,0
0,SSS,South East,Target,0,0,0,437,0,0
0,ITS,South West,Target,0,0,0,1580,0,0
0,FSS,South East,Target,0,0,0,104,0,0
1,ITS,Yorkshire & the Humber,Target,0,0,0,1580,0,0
1,SSS,South East,Member,0,0,0,1580,7.873217055,0
0,DTS,East Midlands,Target,0,0,0,38,0,0
0,SSS,West Midlands,Target,0,0,0,127,0,0
0,SSS,Thames Valley,Target,0,0,0,13,0,0
0,SSS,North West,Target,0,0,0,97,0,0
0,SSS,North East,Target,0,0,0,86,0,0
1,ITS,East Midlands,Target,0,0,0,1580,0,0
0,FSS,London,Target,0,0,0,1580,0,0
0,ITS,West Midlands,Target,0,0,0,1580,0,0
1,SSS,London,Member,0,0,0,1580,9.473377871,0
0,FSS,Yorkshire & the Humber,Target,0,0,0,1580,0,0
0,ITS,West Midlands,Target,0,0,0,447,0,0
1,SSS,South East,Target,0,0,0,1580,0,0
1,SSS,London,Target,0,0,0,1580,0,0
0,FSS,Wales,Member,0,0,0,1580,8.328057269,0
0,DTS,,Target,0,0,0,188,0,0
0,DTS,North West,Target,0,0,0,1580,0,0
0,DTS,London,Target,0,0,0,660,0,0
0,DTS,London,Target,0,0,0,99,0,0
1,SSS,East Midlands,Target,0,0,0,1580,0,0
1,ITS,Wales,Member,0,0,0,1580,9.861880224,0
0,SSS,Thames Valley,Member,0,206,1,829,10.55350591,0
0,ITS,North East,Target,0,0,0,371,0,0
0,SSS,South East,Target,0,0,0,566,0,0
0,DTS,North West,Target,0,0,0,204,0,0
0,DTS,South West,Target,0,0,0,524,0,0
0,DTS,South West,Target,0,0,0,126,0,0
0,ITS,Scotland,Target,0,0,0,24,0,0
1,SSS,London,Target,0,0,0,1580,0,0
0,ITS,West Midlands,Member,0,0,0,633,9.486546851,0
0,SSS,London,Target,0,0,0,104,0,0
1,ITS,East Midlands,Member,0,0,0,1580,10.53985404,0
1,SSS,London,Target,0,0,0,1580,0,0
0,ITS,East Midlands,Target,0,0,0,134,0,0
1,ITS,West Midlands,Member,0,0,0,1580,9.508090343,0
1,SSS,Scotland,Target,0,0,0,1580,0,0
1,SSS,Scotland,Target,0,0,0,1580,0,0
0,FSS,,Target,0,0,0,745,0,0
0,FSS,London,Target,0,0,0,1580,0,0
0,DTS,West Midlands,Target,0,0,0,2,0,0
0,DTS,Wales,Target,0,0,0,1580,0,0
1,SSS,Scotland,Target,0,0,0,1580,0,0
0,ITS,Scotland,Target,0,0,0,1511,0,0
1,SSS,Northern Ireland,Target,0,0,0,1580,0,0
0,SSS,North East,Target,0,0,0,118,0,0
0,FSS,London,Target,0,0,0,1580,0,0
1,ITS,North West,Target,0,0,0,1580,0,0
1,SSS,London,Member,0,0,0,1580,8.819150881,0
1,DTS,North West,Target,0,0,0,1580,0,0
1,SSS,London,Target,0,0,0,1580,0,0
0,SSS,East of England,Target,0,0,0,762,0,0
1,SSS,London,Member,0,0,0,1580,8.071908711,0
0,ITS,East Midlands,Target,0,0,0,1580,0,0
0,FSS,West Midlands,Target,0,0,0,0,0,0
0,ITS,West Midlands,Target,0,0,0,137,0,0
1,SSS,London,Target,0,0,0,1580,0,0
0,DTS,East Midlands,Target,0,0,0,407,0,0
1,SSS,West Midlands,Target,0,0,0,1580,0,0
0,DTS,North West,Target,0,0,0,1580,0,0
1,ITS,West Midlands,Target,0,0,0,1580,0,0
0,FSS,London,Target,0,0,0,1580,0,0
1,ITS,Scotland,Target,0,0,0,1580,0,0
0,FSS,Scotland,Target,0,0,0,1580,0,0
0,ITS,West Midlands,Target,0,0,0,34,0,0
1,ITS,London,Target,0,0,0,1580,0,0
1,SSS,North West,Member,0,0,0,1580,10.10532187,0
0,ITS,West Midlands,Target,0,0,0,659,0,0
1,SSS,Scotland,Target,0,0,0,1580,0,0
0,DTS,South East,Target,0,0,0,1580,0,0
0,FSS,East Midlands,Target,0,0,0,1580,0,0
1,SSS,Scotland,Member,0,0,0,1580,8.154692741,0
0,ITS,East Midlands,Target,0,0,0,26,0,0
1,ITS,Thames Valley,Member,0,0,0,1580,10.17030879,0
0,ITS,Scotland,Target,0,0,0,1580,0,0
1,DTS,London,Target,0,0,0,1580,0,0
0,DTS,East Midlands,Target,0,0,0,1580,0,0
1,ITS,Scotland,Target,0,0,0,1580,0,0
0,DTS,London,Target,0,0,0,601,0,0
1,SSS,Scotland,Target,0,0,0,1580,0,0
1,ITS,East of England,Target,0,0,0,1580,0,0
1,DTS,North East,Target,0,0,0,1580,0,0
1,DTS,Yorkshire & the Humber,Target,0,0,0,1580,0,0
1,SSS,London,Target,0,0,0,1580,0,0
0,ITS,West Midlands,Target,0,0,0,1475,0,0
1,SSS,South East,Target,0,0,0,1580,0,1
0,ITS,West Midlands,Target,0,0,0,230,0,0
1,ITS,East Midlands,Target,0,0,0,1580,0,0
0,ITS,West Midlands,Target,0,0,0,22,0,0
0,SSS,South East,Target,0,0,0,45,0,0
1,ITS,East Midlands,Target,0,0,0,1580,0,0
0,SSS,South West,Target,0,0,0,180,0,0
1,ITS,West Midlands,Target,0,0,0,1580,0,0
1,ITS,South West,Target,0,0,0,1580,0,0
1,ITS,North East,Target,0,0,0,1580,0,0
0,DTS,North West,Target,0,0,0,1580,0,0
0,DTS,West Midlands,Target,0,0,0,1580,0,0
0,ITS,West Midlands,Target,0,0,0,67,0,0
0,SSS,Yorkshire & the Humber,Target,0,0,0,69,0,0
0,FSS,Yorkshire & the Humber,Member,0,0,0,1580,10.57609032,0
